---,Actor,Location,Rotation,Scale,Meshes
Row_13,Class'/Script/Engine.StaticMeshActor',"(X=6951.071289,Y=6850.304688,Z=-797.188171)","(Pitch=0.000000,Yaw=0.000000,Roll=0.000000)","(X=1.000000,Y=1.000000,Z=1.000000)","((StaticMesh=StaticMesh'/Game/DesertGasStation/Meshes/Props/SM_Fence_01_Pole.SM_Fence_01_Pole'',Materials=(MaterialInstanceConstant'""/Game/DesertGasStation/Materials/Instances/Unique/M_Fence_01""')))"
Row_14,Class'/Script/Engine.StaticMeshActor',"(X=-1870.274048,Y=10027.840820,Z=-778.706848)","(Pitch=0.000000,Yaw=0.000000,Roll=-90.000122)","(X=1.000000,Y=1.000000,Z=1.000000)","((StaticMesh=StaticMesh'/Game/Assets/Environment/Props/Food_Grocery/SM_HangingCandy_09.SM_HangingCandy_09'',Materials=(MaterialInstanceConstant'""/Game/Assets/Environment/Props/Food_Grocery/Materials/MI_CandyB""')))"
Row_15,Class'/Script/Engine.StaticMeshActor',"(X=-1877.718872,Y=10003.276367,Z=-777.659058)","(Pitch=0.000000,Yaw=-79.998985,Roll=-79.999504)","(X=1.000000,Y=1.000000,Z=1.000000)","((StaticMesh=StaticMesh'/Game/Assets/Environment/Props/Food_Grocery/SM_HangingCandy_15.SM_HangingCandy_15'',Materials=(MaterialInstanceConstant'""/Game/Assets/Environment/Props/Food_Grocery/Materials/MI_CandyB""')))"
Row_16,Class'/Script/Engine.StaticMeshActor',"(X=5181.628418,Y=20895.882812,Z=-1350.743896)","(Pitch=90.000000,Yaw=-532.447632,Roll=7.552551)","(X=1.000000,Y=1.000000,Z=1.000000)","((StaticMesh=StaticMesh'/Game/Plugins/ModularSewerSystem/Models/Detail/Pipes/SM_PipeA_Top_Short.SM_PipeA_Top_Short'',Materials=(MaterialInstanceConstant'""/Game/Plugins/ModularSewerSystem/Materials/Detail/MI_PipesRailings""')))"
Row_17,Class'/Script/Engine.StaticMeshActor',"(X=5233.039551,Y=20895.882812,Z=-1350.743896)","(Pitch=90.000000,Yaw=-5.051052,Roll=174.949112)","(X=0.637219,Y=0.637219,Z=0.637219)","((StaticMesh=StaticMesh'/Game/Plugins/ModularSewerSystem/Models/Detail/Pipes/SM_Pipe_ValveA.SM_Pipe_ValveA'',Materials=(MaterialInstanceConstant'""/Game/Plugins/ModularSewerSystem/Materials/Detail/MI_PipesRailings""')))"
Row_18,Class'/Script/Engine.StaticMeshActor',"(X=1495.767334,Y=19560.214844,Z=-1028.498169)","(Pitch=-11.675885,Yaw=-18.808783,Roll=-1.481154)","(X=1.000000,Y=1.000000,Z=1.000000)","((StaticMesh=StaticMesh'/Game/Assets/Environment/Props/SM_Pole_Cable.SM_Pole_Cable'',Materials=(MaterialInstanceConstant'""/Game/DriveableCar_basic/Materials/Material_Instances/MI_Metal_Anodized_01_Dark_dirty""')))"
Row_19,Class'/Script/Engine.StaticMeshActor',"(X=43130.730469,Y=11208.308594,Z=-274.131226)","(Pitch=0.000000,Yaw=0.000000,Roll=0.000000)","(X=5.000000,Y=10.250000,Z=1.000000)","((StaticMesh=StaticMesh'/Game/DesertGasStation/Meshes/Architecture/SM_Road_01_A.SM_Road_01_A'',Materials=(MaterialInstanceConstant'""/Game/DesertGasStation/Materials/Instances/Tiling/M_Road_01""')))"
Row_20,Class'/Script/Engine.StaticMeshActor',"(X=3308.596680,Y=13715.838867,Z=-800.779480)","(Pitch=0.000000,Yaw=0.000000,Roll=0.000000)","(X=0.875000,Y=0.875000,Z=0.875000)","((StaticMesh=StaticMesh'/Game/HB_SimpleStreets/Models/Sidewalks/SM_sidewalkcorner_01_B.SM_sidewalkcorner_01_B'',Materials=(MaterialInstanceConstant'""/Game/DesertGasStation/Materials/Instances/Unique/M_sidewalk_Inst""',MaterialInstanceConstant'""/Game/DesertGasStation/Materials/Instances/Unique/M_ConcreteFloor_01""')))"
Row_21,Class'/Script/Engine.StaticMeshActor',"(X=3277.799316,Y=12851.735352,Z=-798.748657)","(Pitch=0.000000,Yaw=-141.685135,Roll=0.000000)","(X=1.000000,Y=1.000000,Z=1.000000)","((StaticMesh=StaticMesh'/Game/Assets/Environment/Props/SM_sign_warehouse_left_pole_2.SM_sign_warehouse_left_pole_2'',Materials=(MaterialInstanceConstant'""/Game/Assets/Environment/Props/Materials/MI_Warehouse_Sign""')))"
Row_22,Class'/Script/Engine.StaticMeshActor',"(X=8724.929688,Y=11124.202148,Z=-644.273560)","(Pitch=0.000000,Yaw=-50.000011,Roll=0.000000)","(X=1.000000,Y=1.000000,Z=1.000000)","((StaticMesh=StaticMesh'/Game/Assets/Environment/Props/UFO/SM_UFO_Decoration1.SM_UFO_Decoration1'',Materials=(MaterialInstanceConstant'""/Game/Assets/Environment/Props/UFO/Material/UFO_Deco1_inst""')))"
Row_23,Class'/Script/Engine.StaticMeshActor',"(X=9054.010742,Y=11526.317383,Z=-821.711243)","(Pitch=0.022034,Yaw=-359.975616,Roll=0.929346)","(X=1.000000,Y=1.000000,Z=1.000000)","((StaticMesh=StaticMesh'/Game/Assets/Environment/Props/UFO/SM_UFO_Landing.SM_UFO_Landing'',Materials=(MaterialInstanceConstant'""/Game/Assets/Environment/Props/UFO/Material/UFO_planks_inst""')))"
Row_24,Class'/Script/Engine.StaticMeshActor',"(X=-9069.428711,Y=17775.021484,Z=-570.992249)","(Pitch=0.000000,Yaw=0.000000,Roll=-90.885811)","(X=1.000000,Y=1.000000,Z=1.000000)","((StaticMesh=StaticMesh'/Game/Assets/Environment/Props/MuscleCar/MuscleCar_Wheel.MuscleCar_Wheel'',Materials=(MaterialInstanceConstant'""/Game/DesertGasStation/Materials/Instances/Unique/M_Wheels""')))"
Row_25,Class'/Script/Engine.StaticMeshActor',"(X=-9187.786133,Y=17533.246094,Z=-549.548401)","(Pitch=0.000007,Yaw=-45.431335,Roll=90.000023)","(X=1.000000,Y=1.000000,Z=1.000000)","((StaticMesh=StaticMesh'/Game/Plugins/ModularSewerSystem/Models/Detail/Props/SM_Barrel_Green.SM_Barrel_Green'',Materials=(MaterialInstanceConstant'""/Game/Plugins/ModularSewerSystem/Materials/Detail/MI_Barrel_Green""')))"
Row_26,Class'/Script/Engine.StaticMeshActor',"(X=-8609.650391,Y=17012.910156,Z=-519.621948)","(Pitch=-75.366035,Yaw=0.000000,Roll=0.000000)","(X=1.000000,Y=1.000000,Z=1.000000)","((StaticMesh=StaticMesh'/Game/Assets/Environment/Props/Shelves/Garage_Shelves/Tire_Shelv/SM_Big_Tire_Shelv_Stand.SM_Big_Tire_Shelv_Stand'',Materials=(MaterialInstanceConstant'""/Game/Assets/Environment/Props/Shelves/Garage_Shelves/Material/Tire_shelv_inst""')))"
Row_27,Class'/Script/Engine.StaticMeshActor',"(X=-9205.444336,Y=17595.255859,Z=-582.182739)","(Pitch=0.000000,Yaw=39.381439,Roll=0.000000)","(X=0.762500,Y=0.762500,Z=0.762500)","((StaticMesh=StaticMesh'/Game/Plugins/ModularSewerSystem/Models/Detail/Props/SM_BigBox_C.SM_BigBox_C'',Materials=(MaterialInstanceConstant'""/Game/Plugins/ModularSewerSystem/Materials/Detail/MI_Boxes""',MaterialInstanceConstant'""/Game/Plugins/ModularSewerSystem/Materials/Detail/MI_TrashPile""')))"
Row_28,Class'/Script/Engine.StaticMeshActor',"(X=-9206.834961,Y=17505.687500,Z=-582.181824)","(Pitch=0.000000,Yaw=81.842598,Roll=0.000000)","(X=0.687500,Y=0.687500,Z=0.687500)","((StaticMesh=StaticMesh'/Game/Plugins/ModularSewerSystem/Models/Detail/Props/SM_BigBox_B.SM_BigBox_B'',Materials=(MaterialInstanceConstant'""/Game/Plugins/ModularSewerSystem/Materials/Detail/MI_Boxes""')))"
Row_29,Class'/Script/Engine.StaticMeshActor',"(X=-9201.800781,Y=17506.101562,Z=-553.476807)","(Pitch=0.000000,Yaw=-90.224342,Roll=0.000000)","(X=0.687500,Y=0.687500,Z=0.687500)","((StaticMesh=StaticMesh'/Game/Plugins/ModularSewerSystem/Models/Detail/Props/SM_BigBox_A.SM_BigBox_A'',Materials=(MaterialInstanceConstant'""/Game/Plugins/ModularSewerSystem/Materials/Detail/MI_Boxes""')))"
Row_30,Class'/Script/Engine.StaticMeshActor',"(X=-8504.704102,Y=17581.513672,Z=-582.183350)","(Pitch=0.000000,Yaw=0.000000,Roll=0.000000)","(X=1.000000,Y=1.000000,Z=1.000000)","((StaticMesh=StaticMesh'/Game/Plugins/ModularSewerSystem/Models/Detail/Trash/SM_BrickPile_B.SM_BrickPile_B'',Materials=(MaterialInstanceConstant'""/Game/Plugins/ModularSewerSystem/Materials/Detail/MI_BrickPaleStatic""')))"
Row_31,Class'/Script/Engine.StaticMeshActor',"(X=-8423.228516,Y=17491.214844,Z=-582.182861)","(Pitch=0.000000,Yaw=0.000000,Roll=0.000000)","(X=1.000000,Y=1.000000,Z=1.000000)","((StaticMesh=StaticMesh'/Game/Plugins/ModularSewerSystem/Models/Detail/Trash/SM_BrickPile_C.SM_BrickPile_C'',Materials=(MaterialInstanceConstant'""/Game/Plugins/ModularSewerSystem/Materials/Detail/MI_BrickPaleStatic""')))"
Row_32,Class'/Script/Engine.StaticMeshActor',"(X=-8402.768555,Y=17458.556641,Z=-582.182556)","(Pitch=0.000000,Yaw=0.000000,Roll=0.000000)","(X=1.000000,Y=1.000000,Z=1.000000)","((StaticMesh=StaticMesh'/Game/Plugins/ModularSewerSystem/Models/Detail/Trash/SM_BrickPile_D.SM_BrickPile_D'',Materials=(MaterialInstanceConstant'""/Game/Plugins/ModularSewerSystem/Materials/Detail/MI_BrickPaleStatic""')))"
Row_33,Class'/Script/Engine.StaticMeshActor',"(X=-8936.648438,Y=16596.796875,Z=-590.415466)","(Pitch=2.617246,Yaw=8.648580,Roll=1.310475)","(X=1.000000,Y=1.000000,Z=1.000000)","((StaticMesh=StaticMesh'/Game/Assets/Environment/Props/debris/SM_Debris_Board_Pile.SM_Debris_Board_Pile'',Materials=(MaterialInstanceConstant'""/Game/Assets/Environment/Props/Boxes/Ruins/Ruin_inst""')))"
Row_34,Class'/Script/Engine.StaticMeshActor',"(X=-8482.647461,Y=15528.032227,Z=-610.804260)","(Pitch=0.000000,Yaw=52.561390,Roll=0.000000)","(X=1.000000,Y=1.000000,Z=1.000000)","((StaticMesh=StaticMesh'/Game/Assets/Environment/Props/debris/SM_Debris_Brick_Half.SM_Debris_Brick_Half'',Materials=(MaterialInstanceConstant'""/Game/Assets/Environment/Props/Boxes/Ruins/Ruin_inst""')))"
Row_35,Class'/Script/Engine.StaticMeshActor',"(X=-9128.767578,Y=15348.162109,Z=-586.073669)","(Pitch=0.000000,Yaw=-37.188812,Roll=0.000000)","(X=1.000000,Y=1.000000,Z=1.000000)","((StaticMesh=StaticMesh'/Game/Assets/Environment/Props/debris/SM_Debris_CinderBlock_Chunk_02.SM_Debris_CinderBlock_Chunk_02'',Materials=(MaterialInstanceConstant'""/Game/Assets/Environment/Props/Boxes/Ruins/Ruin_inst""')))"
Row_36,Class'/Script/Engine.StaticMeshActor',"(X=-9004.115234,Y=16938.574219,Z=-582.177795)","(Pitch=0.000000,Yaw=80.407799,Roll=0.000000)","(X=1.000000,Y=1.000000,Z=1.000000)","((StaticMesh=StaticMesh'/Game/Assets/Environment/Props/debris/SM_Debris_Pile_Edge_Lrg_01.SM_Debris_Pile_Edge_Lrg_01'',Materials=(MaterialInstanceConstant'""/Game/Assets/Environment/Props/Boxes/Ruins/Ruin_inst""')))"
Row_37,Class'/Script/Engine.StaticMeshActor',"(X=-8720.516602,Y=16521.343750,Z=-586.946716)","(Pitch=0.000000,Yaw=0.000000,Roll=-3.890847)","(X=1.000000,Y=1.000000,Z=1.000000)","((StaticMesh=StaticMesh'/Game/Assets/Environment/Props/debris/SM_Debris_Tire_Single.SM_Debris_Tire_Single'',Materials=(MaterialInstanceConstant'""/Game/Assets/Environment/Props/Boxes/Ruins/Ruin_inst""')))"
Row_38,Class'/Script/Engine.StaticMeshActor',"(X=-8804.900391,Y=17437.123047,Z=-582.181641)","(Pitch=0.000000,Yaw=40.618484,Roll=0.000000)","(X=0.467500,Y=0.467500,Z=0.467500)","((StaticMesh=StaticMesh'/Game/Assets/Environment/Junkyard/Meshes/Props/SM_GarbagePile_02.SM_GarbagePile_02'',Materials=(MaterialInstanceConstant'""/Game/Assets/Environment/Junkyard/Material/MI_BodyCar_10""')))"
Row_39,Class'/Script/Engine.StaticMeshActor',"(X=-8991.435547,Y=17377.730469,Z=-582.180542)","(Pitch=0.000000,Yaw=-6.201993,Roll=0.000000)","(X=0.287500,Y=0.287500,Z=0.287500)","((StaticMesh=StaticMesh'/Game/Assets/Environment/Junkyard/Meshes/Props/SM_GarbagePile_04.SM_GarbagePile_04'',Materials=(MaterialInstanceConstant'""/Game/Assets/Environment/Junkyard/Material/MI_BodyCar_10""')))"
Row_40,Class'/Script/Engine.StaticMeshActor',"(X=-9081.572266,Y=17149.666016,Z=-504.502258)","(Pitch=-8.476764,Yaw=-43.042908,Roll=-27.798098)","(X=1.000000,Y=1.000000,Z=1.000000)","((StaticMesh=StaticMesh'/Game/Assets/Environment/Props/Postapo_props/MetalSheets/SM_Metal_Sheet_01.SM_Metal_Sheet_01'',Materials=(MaterialInstanceConstant'""/Game/Assets/Environment/Props/Postapo_props/MetalSheets/Material/MetalSheets_inst""')))"
Row_41,Class'/Script/Engine.StaticMeshActor',"(X=-8704.682617,Y=17600.363281,Z=-580.177979)","(Pitch=0.000000,Yaw=13.979870,Roll=0.000000)","(X=0.495000,Y=0.495000,Z=0.495000)","((StaticMesh=StaticMesh'/Game/Assets/Environment/Props/Postapo_props/MetalSheets/SM_Metal_Sheet_020.SM_Metal_Sheet_020'',Materials=(MaterialInstanceConstant'""/Game/Assets/Environment/Props/Postapo_props/MetalSheets/Material/MetalSheets_inst""')))"
Row_42,Class'/Script/Engine.StaticMeshActor',"(X=-9065.750977,Y=17313.464844,Z=-524.927368)","(Pitch=0.000007,Yaw=44.908993,Roll=-23.363714)","(X=1.000000,Y=1.000000,Z=1.000000)","((StaticMesh=StaticMesh'/Game/Assets/Environment/Props/Postapo_props/MetalSheets/SM_Metal_Sheet_06.SM_Metal_Sheet_06'',Materials=(MaterialInstanceConstant'""/Game/Assets/Environment/Props/Postapo_props/MetalSheets/Material/MetalSheets_inst""')))"
Row_43,Class'/Script/Engine.StaticMeshActor',"(X=-9062.416992,Y=17689.435547,Z=-558.767761)","(Pitch=3.359230,Yaw=-4.719750,Roll=26.308167)","(X=1.000000,Y=1.000000,Z=1.000000)","((StaticMesh=StaticMesh'/Game/Plugins/ModularSewerSystem/Models/Detail/Props/SM_MetalShelf.SM_MetalShelf'',Materials=(MaterialInstanceConstant'""/Game/Plugins/ModularSewerSystem/Materials/Detail/MI_MetalShelf""')))"
Row_44,Class'/Script/Engine.StaticMeshActor',"(X=-9066.897461,Y=17683.876953,Z=-485.434204)","(Pitch=0.733084,Yaw=-5.189795,Roll=-81.982063)","(X=1.000000,Y=1.000000,Z=1.000000)","((StaticMesh=StaticMesh'/Game/Plugins/ModularSewerSystem/Models/Detail/Props/SM_Barrel_Red.SM_Barrel_Red'',Materials=(MaterialInstanceConstant'""/Game/Plugins/ModularSewerSystem/Materials/Detail/MI_Barrel_Red""')))"
Row_45,Class'/Script/Engine.StaticMeshActor',"(X=-9176.830078,Y=17776.113281,Z=-582.184570)","(Pitch=0.000000,Yaw=82.394493,Roll=0.000000)","(X=1.000000,Y=1.000000,Z=1.000000)","((StaticMesh=StaticMesh'/Game/DesertGasStation/Meshes/Props/SM_TrashBag_01_A.SM_trashbag_01_a'',Materials=(MaterialInstanceConstant'""/Game/DesertGasStation/Materials/Instances/Unique/M_TrashBag_01""')))"
Row_46,Class'/Script/Engine.StaticMeshActor',"(X=-9178.539062,Y=17704.552734,Z=-582.183838)","(Pitch=0.000000,Yaw=162.064835,Roll=0.000000)","(X=1.000000,Y=1.000000,Z=1.000000)","((StaticMesh=StaticMesh'/Game/Assets/Environment/Props/SM_trashbag_02_a.SM_trashbag_02_a'',Materials=(MaterialInstanceConstant'""/Game/Assets/Environment/Props/Materials/MI_trashbag_02""')))"
Row_47,Class'/Script/Engine.StaticMeshActor',"(X=-9242.413086,Y=17245.099609,Z=-582.179443)","(Pitch=0.000000,Yaw=128.288071,Roll=0.000000)","(X=1.000000,Y=1.000000,Z=1.000000)","((StaticMesh=StaticMesh'/Game/Assets/Environment/Props/SM_trashbag_02_c.SM_trashbag_02_c'',Materials=(MaterialInstanceConstant'""/Game/Assets/Environment/Props/Materials/MI_trashbag_02""')))"
Row_48,Class'/Script/Engine.StaticMeshActor',"(X=-8865.439453,Y=16883.933594,Z=-583.074097)","(Pitch=0.000000,Yaw=0.000000,Roll=0.000000)","(X=1.000000,Y=1.000000,Z=1.000000)","((StaticMesh=StaticMesh'/Game/Assets/Environment/Props/SM_trashbag_02_d.SM_trashbag_02_d'',Materials=(MaterialInstanceConstant'""/Game/Assets/Environment/Props/Materials/MI_trashbag_02""')))"
Row_49,Class'/Script/Engine.StaticMeshActor',"(X=2865.385498,Y=10315.470703,Z=-808.072998)","(Pitch=0.000000,Yaw=-180.151367,Roll=0.000000)","(X=0.500000,Y=0.448099,Z=1.000000)","((StaticMesh=StaticMesh'/Game/HB_SimpleStreets/Models/Sidewalks/sidewalkmiddle_01_A.sidewalkmiddle_01_A'',Materials=(MaterialInstanceConstant'""/Game/HB_SimpleStreets/Materials/sidewalk_01_A_MI""')))"
Row_50,Class'/Script/Engine.StaticMeshActor',"(X=2993.567871,Y=10315.430664,Z=-808.066345)","(Pitch=0.000000,Yaw=-0.151231,Roll=0.000000)","(X=0.500000,Y=0.448099,Z=1.000000)","((StaticMesh=StaticMesh'/Game/HB_SimpleStreets/Models/Sidewalks/sidewalkmiddle_01_A.sidewalkmiddle_01_A'',Materials=(MaterialInstanceConstant'""/Game/HB_SimpleStreets/Materials/sidewalk_01_A_MI""')))"
Row_51,Class'/Script/Engine.StaticMeshActor',"(X=1565.319580,Y=8174.615723,Z=-807.168701)","(Pitch=0.000000,Yaw=89.999947,Roll=0.000000)","(X=1.000000,Y=1.000000,Z=1.000000)","((StaticMesh=StaticMesh'/Game/DesertGasStation/Meshes/Props/SM_Bench_01.SM_Bench_01'',Materials=(MaterialInstanceConstant'""/Game/DesertGasStation/Materials/Instances/Unique/M_Bench_01""')))"
Row_52,Class'/Script/Engine.StaticMeshActor',"(X=-2572.941406,Y=11989.683594,Z=-947.673645)","(Pitch=0.000000,Yaw=-59.074726,Roll=0.000000)","(X=0.710465,Y=0.710465,Z=1.245624)","((StaticMesh=StaticMesh'/Game/Foliage_Revamp/Desert_Rocks_and_Cliffs/Static_Meshes/BIG_desert_rock_08/SM_BIG_Desert_Rock_08_UE4.SM_BIG_Desert_Rock_08_UE4'',Materials=(MaterialInstanceConstant'""/Game/Foliage_Revamp/Desert_Rocks_and_Cliffs/Static_Meshes/BIG_desert_rock_08/Materials/M_BIG_Desert_Rock_08_UE4""',MaterialInstanceConstant'""/Game/Foliage_Revamp/Desert_Rocks_and_Cliffs/Static_Meshes/BIG_desert_rock_08/Materials/M_BIG_Desert_Rock_08_UE4_LOD1""')))"
Row_53,Class'/Script/Engine.StaticMeshActor',"(X=5890.469727,Y=16839.337891,Z=-798.750610)","(Pitch=0.000000,Yaw=-40.000061,Roll=0.000000)","(X=1.000000,Y=1.000000,Z=1.000000)","((StaticMesh=StaticMesh'/Game/Construction_VOL1/Meshes/SM_CinderStack_01a.SM_CinderStack_01a'',Materials=(MaterialInstanceConstant'""/Game/Construction_VOL1/Materials/Instances/MI_Cinderstack_01a""')))"
Row_54,Class'/Script/Engine.StaticMeshActor',"(X=3218.612061,Y=7311.194824,Z=-819.489746)","(Pitch=88.700325,Yaw=-0.001277,Roll=-45.527439)","(X=1.000000,Y=1.000000,Z=1.000000)","((StaticMesh=StaticMesh'/Game/Construction_VOL1/Meshes/SM_CinderStack_Single_01a.SM_CinderStack_Single_01a'',Materials=(MaterialInstanceConstant'""/Game/Construction_VOL1/Materials/Instances/MI_Cinderstack_01a""')))"
Row_55,Class'/Script/Engine.StaticMeshActor',"(X=5278.410645,Y=15530.083984,Z=-695.734497)","(Pitch=0.000000,Yaw=-40.000061,Roll=0.000000)","(X=1.000000,Y=1.000000,Z=1.000000)","((StaticMesh=StaticMesh'/Game/Construction_VOL1/Meshes/SM_ConcreteBag_01a.SM_ConcreteBag_01a'',Materials=(MaterialInstanceConstant'""/Game/Construction_VOL1/Materials/Instances/MI_ConcreteBag_01a""')))"
